,county,city,state
1033,Elmore County,Hammett,ID
1034,Los Angeles County,Castaic,CA
1035,Davis County,Clearfield,UT
1036,Scott County,Scott County,VA
1037,Loudoun County,Aldie,VA
1038,Fulton County,East Point,GA
1039,San Diego County,Santee,CA
1040,Dodge County,Beaver Dam,WI
1041,Dauphin County,Harrisburg,PA
1042,Newberry County,Little Mountain,SC
1043,Wilkes County,Wilkesboro,NC
1044,Scott County,Georgetown,KY
1045,Pickaway County,Circleville,OH
1046,Iberville Parish,Plaquemine,LA
1047,King County,Tukwila,WA
1048,San Diego County,Vista,CA
1049,Alameda County,Hayward,CA
1050,Falls Church city,Falls Church,VA
1051,Hardin County,Counce,TN
1052,Hampshire County,Augusta,WV
1053,Adams County,Rome,OH
1054,Caldwell County,Lenoir,NC
1055,Pinal County,Apache Junction,AZ
1056,Sacramento County,Antelope,CA
1057,Ellis County,Hays,KS
1058,San Diego County,Poway,CA
1059,Humboldt County,McKinneyville,CA
1060,Los Angeles County,East Hollywood,CA
1061,Waupaca County,New London,WI
1062,Hamilton County,East Ridge,TN
1063,Butler County,Hamilton,OH
1064,Cooke County,Myra,TX
1065,Dallas County,Oak Cliff,TX
1066,Bedford County,Shelbyville,TN
1067,Dakota County,Eagan,MN
1068,Pierce County,Graham,WA
1069,Bell County,Harker Heights,TX
1070,Barry County,McDowell,MO
1071,Lucas County,Sylvania Township,OH
1072,Los Angeles County,Huntington Park,CA
1073,Otero County,Alamogordo,NM
1074,Douglas County,Parker,CO
1075,Lake County,Round Lake,IL
1076,Douglas County,East Wenatchee,WA
1077,Bell County,Temple,TX
1078,Roane County,Spencer,WV
1079,Washington County,Gray,TN
1080,Dougherty County,Albany,GA
1081,Brevard County,Titusville,FL
1082,Merced County,Delhi,CA
1083,King County,Auburn,WA
1084,Mercer County,Montcalm,WV
1085,Santa Clara County,Saratoga,CA
1086,San Bernardino County,Colton,CA
1087,Hernando County,Weeki Wachi,FL
1088,San Bernardino County,Big Bear,MO
1089,Chittenden County,Winooski,VT
1090,Riverside County,Beaumont,CA
1091,Rutherford County,Rutherfordton,NC
1092,Stearns County,St. Cloud,MN
1093,Harris County,Spring,TX
1094,Cache County,Logan Canyon,UT
1095,Wood County,Wood County,TX
1096,Decatur County,Decatur County,TN
1097,St. Lucie County,Port St. Lucie,FL
1098,New London County,Mashantucket,CT
1099,Cass County,Louisville,NE
1100,Sacramento County,Fair Oaks,CA
1101,Baltimore County,Pikesville,MD
1102,Sullivan County,Claremont,NH
1103,Ada County,Garden City,ID
1104,Pulaski County,Little Rock,AR
1105,Trinity County,Groveton,TX
1106,Essex County,Newark,NJ
1107,Spartanburg County,Campobello,SC
1108,Wayne County,Belleville,MI
1109,Putnam County,Hometown,WV
1110,Cook County,Markham,IL
1111,Atlantic County,Ventnor,NJ
1112,Washington County,Springdale,AR
1113,Mackinac County,Hessel,MI
1114,Berkeley County,Moncks Corner,SC
1115,Bibb County,Macon,GA
1116,Lauderdale County,Killeen,AL
1117,Saline County,Benton,AR
1118,King County,Federal Way,WA
1119,Hughes County,Wetumka,OK
1120,Robeson County,Lumberton,NC
1121,Orange County,Irvine,CA
1122,Cuyahoga County,Westlake,OH
1123,Contra Costa County,Concord,CA
1124,Livingston Parish,Livingston Parish,LA
1125,Rowan County,Morehead,KY
1126,Josephine County,Grants Pass,OR
1127,King County,Kent,WA
1128,Santa Cruz County,Santa Cruz,CA
1129,Pasco County,Holiday,FL
1130,Berrien County,Benton Harbor,MI
1131,Bourbon County,Paris,KY
1132,Lake County,Willoughby,OH
1133,King County,Muckleshoot Indian Reservation,WA
1134,Shelby County,Westover,AL
1135,Fillmore County,Peterson,MN
1136,Metcalfe County,Edmonton,KY
1137,St. Louis County,North St. Louis,MO
1138,Placer County,Lincoln,CA
1139,Dallas County,Carrollton,TX
1140,Washington County,Bartlesville,OK
1141,Elbert County,Elberton,GA
1142,Stevens County,Morris,MN
1143,Cuyahoga County,North Royalton,OH
1144,Dewey County,Leedey,OK
1145,Los Angeles County,Torrance,CA
1146,Los Angeles County,Chatsworth,CA
1147,Montgomery County,Brookville,OH
1148,Rowan County,Salisbury,NC
1149,Franklin County,Chambersburg,PA
1150,Walton County,Loganville,GA
1151,Riverside County,Palm Springs,CA
1152,Pinellas County,Lealman,FL
1153,Okfuskee County,Okemah,OK
1154,Kanawha County,Clendenin,WV
1155,Clallam County,Beaver,WA
1156,Gregg County,Gladewater,TX
1157,Warren County,Bowling Green,KY
1158,Cumberland County,Maurice River,NJ
1159,McDowell County,Hensley,WV
1160,Ashtabula County,Ashtabula,OH
1161,Navajo County,Show Low,AZ
1162,Tom Green County,San Angelo,TX
1163,Montrose County,Montrose County,CO
1164,Columbia County,Bloomsburg,PA
1165,York County,York County,PA
1166,Harris County,Webster,TX
1167,Long County,Ludowici,GA
1168,Pinal County,Casa Grande,AZ
1169,Santa Cruz County,Watsonville,CA
1170,Kings County,Brooklyn,NY
1171,Santa Barbara County,Lompoc,CA
1172,Los Angeles County,La Mirada,CA
1173,Ottawa County,Holland Township,MI
1174,Madison County,Jackson,TN
1175,Forrest County,Hattiesburg,MS
1176,Maricopa County,Surprise,AZ
1177,Johnson County,Olathe,KS
1178,Cumberland County,Naples,ME
1179,Catawba County,Hickory,NC
1180,Galveston County,Friendswood,TX
1181,Hendricks County,Avon,IN
1182,Anderson County,Iva,SC
1183,Pope County,Dover,AR
1184,Shelby County,Simpsonsville,KY
1185,Colbert County,Tuscumbia,AL
1186,Summit County,Hudson,OH
1187,Elkhart County,Elkhart,IN
1188,Volusia County,Orange City,FL
1189,Lake County,Fruitland Park,FL
1190,Cumberland County,Fayetteville,NC
1191,Woodbury County,Sioux City,IA
1192,Washington County,Avella,PA
1193,Collin County,Allen,TX
1194,Hawaii County,Keaau,HI
1195,Brunswick County,Leland,NC
1196,Northampton County,Forks Township,PA
1197,Sumter County,Sumter,SC
1198,Johnson County,Greenwood,IN
1199,York County,York,NE
1200,Marion County,Fairmont,WV
1201,Mohave County,Bullhead City,AZ
1202,Barber County,Medicine Lodge,KS
1203,Peach County,Fort Valley,GA
1204,Henry County,Hampton,GA
1205,Los Angeles County,Hacienda Heights,CA
1206,Polk County,Dallas,OR
1207,Shelby County,Arlington,TN
1208,Snohomish County,Everett,WA
1209,Clark County,Ridgefield,WA
1210,Caldwell County,Granite Falls,NC
1211,Hidalgo County,Pharr,TX
1212,Imperial County,Brawley,CA
1213,Kay County,Ponca City,OK
1214,Washita County,Burns Flat,OK
1215,Starke County,Knox,IN
1216,Mobile County,Saraland,AL
1217,Fresno County,Coalinga,CA
1218,Prince George's County,Capitol Heights,MD
1219,Pinellas County,Palm Harbor,FL
1220,Polk County,Lake Wales,FL
1221,Etowah County,Gadsden,AL
1222,Los Angeles County,Pico Rivera,CA
1223,Washington County,King City,OR
1224,Independence County,Desha,AR
1225,Clay County,Middleburg,FL
1226,Nevada County,Grass Valley,CA
1227,Brazoria County,Pearland,TX
1228,Cook County,North Riverside,IL
1229,Atascosa County,Campbellton,TX
1230,Maury County,Spring Hill,TN
1231,Kent County,Chestertown,MD
1232,Escambia County,Pensacola,FL
1233,Blue Earth County,Mankato,MN
1234,Palm Beach County,Loxahatchee,FL
1235,Huntingdon County,Huntingdon County,PA
1236,Clark County,Springfield,OH
1237,DuPage County,Villa Park,IL
1238,Cherokee County,Woodstock,GA
1239,Upshur County,Gilmer,TX
1240,Los Angeles County,Pomona,CA
1241,Garrard County,Lancaster,KY
1242,Crawford County,English,IN
1243,Tulare County,Dinuba,CA
1244,Marion County,Monteagle,TN
1245,Mercer County,Sharon,PA
1246,Lake County,Deerfield,IL
1247,Mercer County,Princeton,WV
1248,Ottawa County,Fairland,OK
1249,Howard County,Elkridge,MD
1250,Jackson County,Independence,MO
1251,Forsyth County,Cumming,GA
1252,Henderson County,Reagan,TN
1253,Mower County,Austin,MN
1254,Mille Lacs County,Vineland,MN
1255,Giles County,Pearisburg,VA
1256,Honolulu County,Kahuku,HI
1257,Fayette County,Tyrone,GA
1258,Fulton County,Fulton,KY
1259,Fairfax County,Herndon,VA
1260,Hamilton County,Soddy-Daisy,TN
1261,San Bernardino County,Twentynine Palms,CA
1262,Monterey County,Salinas,CA
1263,Adair County,Watts,OK
1264,Lake County,Gary,IN
1265,Grand Forks County,Grand Forks,ND
1266,St. Louis County,Florissant,MO
1267,Caroline County,Woodford,VA
1268,Hutchinson County,Fritch,TX
1269,Washington County,Greenville,MS
1270,Clark County,Jean,NV
1271,Lincoln County,Waldoboro,ME
1272,Los Angeles County,Carson,CA
1273,Bulloch County,Brooklet,GA
1274,Sangamon County,Springfield,IL
1275,Jefferson Parish,Kenner,LA
1276,San Luis Obispo County,Atascadero,CA
1277,Kent County,Algoma Township,MI
1278,Lancaster County,Lancaster City,PA
1279,Ada County,Kuna,ID
1280,Calhoun County,Oxford,AL
1281,DeSoto County,Southaven,MS
1282,Jackson County,Millston,WI
1283,Baltimore County,Overlea,MD
1284,Butler County,Madison Township,OH
1285,Los Angeles County,Alhambra,CA
1286,Pecos County,Fort Stockton,TX
1287,King County,Des Moines,WA
1288,New London County,Oakdale,CT
1289,Pittsburg County,Kiowa,OK
1290,Snohomish County,Lynnwood,WA
1291,Los Angeles County,Hollywood,CA
1292,San Bernardino County,Highland,CA
1293,Wichita County,Wichita Falls,TX
1294,Clay County,Orange Park,FL
1295,Placer County,Olympic Valley,CA
1296,Carson County,Panhandle,TX
1297,Robeson County,Rowland,NC
1298,Taylor County,Grafton,WV
1299,Cook County,Forest Park,IL
1300,Colquitt County,Moultrie,GA
1301,Volusia County,DeLand,FL
1302,Montgomery County,Englewood,OH
1303,Adams County,Commerce City,CO
1304,Los Angeles County,Santa Monica,CA
1305,Jackson County,Jackson County,AL
1306,Maury County,Mt. Pleasant,TN
1307,Trumbull County,Howland Township,OH
1308,Madison County,Richmond,KY
1309,Franklin County,Brookville,IN
1310,Caddo County,Anadarko,OK
1311,Ashtabula County,Geneva Township,OH
1312,McKinley County,Crownpoint,NM
1313,Kennebec County,Vassalboro,ME
1314,Oklahoma County,Bethany,OK
1315,Cumberland County,Bridgeton,NJ
1316,Honolulu County,Aiea,HI
1317,Kaufman County,Terrell,TX
1318,Santa Barbara County,Santa Barbara,CA
1319,Mohave County,Golden Shores,AZ
1320,Knox County,Vincennes,IN
1321,Cape Girardeau County,Cape Girardeau,MO
1322,Stanislaus County,Newman,CA
1323,Los Angeles County,Gardena,CA
1324,Trinity County,Douglas City,CA
1325,Dallas County,Grand Prarie,TX
1326,Matanuska-Susitna,Big Lake,AK
1327,Cumberland County,Portland,ME
1328,Orange County,Efland,NC
1329,Marion County,Bull Shoals,AR
1330,Buchanan County,St. Joseph,MO
1331,Weber County,Roy,UT
1332,Montgomery County,Conroe,TX
1333,Harvey County,Newton,KS
1334,Osage County,Fairfax,OK
1335,Laurel County,London,KY
1336,Placer County,Rocklin,CA
1337,Stewart County,Lumpkin,GA
1338,Sarasota County,Englewood,FL
1339,Tooele County,Aragonite,UT
1340,Citrus County,Floral City,FL
1341,Cleveland County,Shelby,NC
1342,Lincoln County,Corning,WI
1343,Angelina County,Lufkin,TX
1344,Marathon County,Rib Mountain,WI
1345,San Diego County,San Marcos,CA
1346,Arapahoe County,Englewood,CO
1347,Kings County,Lemoore,CA
1348,Greenville County,Fountain Inn,SC
1349,Riverside County,Cabazon,CA
1350,Medina County,Medina,OH
1351,Los Angeles County,Ladera Heights,CA
1352,Washington County,Union Township,PA
1353,Riverside County,Riverside,CA
1354,Orange County,Huntington Beach,CA
1355,San Diego County,Escondido,CA
1356,Ellis County,Midlothian,TX
1357,East Baton Rouge Parish,East Baton Rouge,LA
1358,Whatcom County,Bellingham,WA
1359,Cuyahoga County,Euclid,OH
1360,Baltimore County,Woodlawn,MD
1361,Ocean County,Toms River,NJ
1362,Pierce County,Fife,WA
1363,Bay County,Panama City Beach,FL
1364,Macomb County,Warren,MI
1365,Shelby County,Lakeland,TN
1366,Polk County,Cedartown,GA
1367,St. Louis County,Affton,MO
1368,Indian River County,Gifford,FL
1369,Brevard County,Cape Canaveral,FL
1370,Riverside County,Desert Edge,CA
1371,Owsley County,Booneville,KY
1372,Acadia Parish,Crowley,LA
1373,Marathon County,Weston,WI
1374,Grant County,Sheridan,AR
1375,Shasta County,Cottonwood,CA
1376,Eastland County,Cisco,TX
1377,Shasta County,Anderson,CA
1378,Palm Beach County,Delray Beach,FL
1379,Marshall County,Lewisburg,TN
1380,Montgomery County,Montgomery Village,MD
1381,Tippecanoe County,Lafayette,IN
1382,Manistee County,Manistee,MI
1383,Jo Daviess County,Stockton,IL
1384,McClain County,Byars,OK
1385,New Castle County,New Castle,DE
1386,Anderson County,Lawrenceburg,KY
1387,Grayson County,Whitewright,TX
1388,Middlesex County,Cranbury Township,NJ
1389,Escambia County,Cantonment,FL
1390,Anderson County,Pendleton,SC
1391,Elkhart County,Goshen,IN
1392,Franklin County,Westerville,OH
1393,Pinellas County,Largo,FL
1394,Oglala Lakota County,Kyle,SD
1395,Ventura County,Santa Paula,CA
1396,Maricopa County,Avondale,AZ
1397,Cowley County,Udall,KS
1398,Hartford County,Suffield,CT
1399,Pierce County,Spanaway,WA
1400,Morton County,Mandan,ND
1401,Crittenden County,West Memphis,AR
1402,Orange County,Newport Beach,CA
1403,Ashtabula County,Colebrook Township,OH
1404,Ramsey County,Vadnais Heights,MN
1405,Montgomery County,Clarksville,TN
1406,Pendleton County,Brandywine,WV
1407,Logan County,Logan County,OK
1408,Clackamas County,West Linn,OR
1409,Sutter County,Yuba City,CA
1410,Porter County,Portage,IN
1411,Bell County,Killeen,TX
1412,York County,Stewartstown,PA
1413,Josephine County,Wolf Creek,OR
1414,Los Angeles County,Bellflower,CA
1415,Bibb County,Lizella,GA
1416,Mifflin County,Lewistown,PA
1417,New Castle County,Middletown,DE
1418,San Mateo County,San Mateo,CA
1419,Dallas County,Balch Springs,TX
1420,Hawaii County,Papaaloa,HI
1421,Santa Fe County,Eldorado,NM
1422,McCurtain County,Tom,OK
1423,San Diego County,University City,CA
1424,Kent County,Grand Rapids,MI
1425,Fayette County,Peachtree City,GA
1426,Fort Bend County,Katy,TX
1427,Erie County,Buffalo,NY
1428,Fairfield County,Bridgeport,CT
1429,Lexington County,Lexington,SC
1430,Seneca County,Tiffin,OH
1431,Livingston County,Brighton Township,MI
1432,San Diego County,Barona Indian Reservation,CA
1433,Baldwin County,Baldwin County,AL
1434,Palm Beach County,Jupiter,FL
1435,Milwaukee County,West Allis,WI
1436,San Diego County,Del Mar,CA
1437,Seminole County,Wewoka,OK
1438,Orange County,Tustin,CA
1439,Gallatin County,Three Forks,MT
1440,Northampton County,Lower Mount Bethel,PA
1441,Kennebec County,Belgrade,ME
1442,Outagamie County,Appleton,WI
1443,Sabine Parish,Converse,LA
1444,Elmore County,Mountain Home,ID
1445,Nye County,Pahrump,NV
1446,Stark County,Canton,OH
1447,Cibola County,San Rafael,NM
1448,Scott County,Oneida,TN
1449,Cobb County,Austell,GA
1450,Wake County,Cary,NC
1451,York County,Arundel,ME
1452,Solano County,Vacaville,CA
1453,Berkeley County,Gerrardstown,WV
1454,San Bernardino County,Hesperia,CA
1455,Arapahoe County,Centennial,CO
1456,Nassau County,Yulee,FL
1457,Henry County,Abbeville,AL
1458,Forrest County,Petal,MS
1459,Nassau County,Callahan,FL
1460,San Diego County,Campo,CA
1461,Nelson County,Bardstown,KY
1462,Polk County,Lakes Wales,FL
1463,Penobscot County,Orrington,ME
1464,Baltimore County,Dundalk,MD
1465,Caldwell County,Hudson,NC
1466,Sequoyah County,Roland,OK
1467,Cook County,Lyons,IL
1468,Iowa County,North English,IA
1469,Taylor County,Abilene,TX
1470,Fresno County,Selma,CA
1471,Collin County,Plano,TX
1472,Knox County,Trosper,KY
1473,St. Martin Parish,Cade,LA
1474,Jersey County,Jerseyville,IL
1475,Rockingham County,Hampton,NH
1476,Alexandria city,Alexandria,VA
1477,Fayette County,Somerville,TN
1478,Rockingham County,Newton,NH
1479,Yalobusha County,Water Valley,MS
1480,Madera County,Madera,CA
1481,Los Angeles County,Montebello,CA
1482,Waukesha County,Waukesha,WI
1483,Williamson County,Franklin,TN
1484,Butler County,St. Clair Township,OH
1485,Marion County,Lehigh,KS
1486,Vernon County,Nevada,MO
1487,McCurtain County,Millerton,OK
1488,Lane County,Florence,OR
1489,Washington County,Deer Park,AL
1490,San Miguel County,Rowe,NM
1491,Cobb County,Marietta,GA
1492,Logan County,Lawndale,IL
1493,Hamilton County,Fishers,IN
1494,Houston County,Bonaire,GA
1495,Adams County,Federal Heights,CO
1496,Montgomery County,Vandalia,OH
1497,Davis County,Centerville,UT
1498,Benton County,Richland,WA
1499,Monroe County,Maeystown,IL
1500,Sequoyah County,Sallisaw,OK
1501,Somerset County,Madison,ME
1502,Hillsborough County,Plant City,FL
1503,Evangeline Parish,Mamou,LA
1504,Thurston County,Lacey,WA
1505,Putnam County,Crescent City,FL
1506,Sampson County,Newton Grove,NC
1507,Stark County,Uniontown,OH
1508,Kitsap County,Bainbridge Island,WA
1509,Carroll County,Mt Airy,MD
1510,Chisago County,North Branch,MN
1511,Butler County,Poplar Bluff,MO
1512,Leavenworth County,Leavenworth,KS
1513,Mohave County,Golden Valley,AZ
1514,Dillon County,Lake View,SC
1515,San Luis Obispo County,Grover Beach,CA
1516,Graham County,Pima,AZ
1517,Pasco County,Crystal Springs,FL
1518,Maricopa County,Goodyear,AZ
1519,Culpeper County,Culpeper,VA
1520,Jefferson County,Clay,AL
1521,Lane County,Springfield,OR
1522,Saginaw County,Saginaw,MI
1523,Newton County,Neosho,MO
1524,Worcester County,Spencer,MA
1525,Crittenden County,Marion,AR
1526,Indian River County,Vero Beach,FL
1527,Claiborne Parish,Homer,LA
1528,Kings County,Avenal,CA
1529,Chelan County,Wenatchee,WA
1530,Madera County,Chowchilla,CA
1531,Schenectady County,Glenville,NY
1532,Canyon County,Melba,ID
1533,Winnebago County,Oshkosh,WI
